發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
101,10,3,10,40,2,01大同區,大同區承德路與敦煌路口承德路 敦煌路,0,1,1,B03,1,30,3,8,0,4,2
101,10,3,10,40,2,01大同區,大同區承德路與敦煌路口承德路 敦煌路,0,1,2,C03,1,23,2,8,0,4,2
101,1,29,12,30,2,01大同區,大同區民權西路與延平北路口延平北路 民權西路,0,2,1,C03,1,73,2,8,50,4,1
101,1,29,12,30,2,01大同區,大同區民權西路與延平北路口延平北路 民權西路,0,2,2,C03,1,33,2,8,50,4,1
101,2,2,23,50,2,01大同區,大同區承德路與庫倫街口承德路 庫倫街,0,1,1,B03,1,20,3,7,50,4,1
101,2,2,23,50,2,01大同區,大同區承德路與庫倫街口承德路 庫倫街,0,1,2,C03,1,20,2,7,50,4,1
101,2,3,14,30,2,01大同區,大同區民族西路與重慶北路口重慶北路 民族西路,0,1,1,B03,2,38,3,6,50,4,1
101,2,3,14,30,2,01大同區,大同區民族西路與重慶北路口重慶北路 民族西路,0,1,2,H01,2,71,2,6,50,4,1
101,2,3,17,55,2,01大同區,大同區民權西路與台北橋口民權西路台北橋往台北市 機車道,0,1,1,G06,1,,4,6,40,14,11
101,2,3,17,55,2,01大同區,大同區民權西路與台北橋口民權西路台北橋往台北市 機車道,0,1,2,C03,1,30,2,6,40,14,11
101,2,14,10,0,2,01大同區,大同區歸綏街232號,0,1,1,B03,1,45,3,8,50,14,9
101,2,14,10,0,2,01大同區,大同區歸綏街232號,0,1,2,F03,2,57,2,8,50,14,9
101,2,21,8,40,2,01大同區,大同區忠孝西路與環河北路口環河北路 忠孝西路,0,1,1,C03,1,19,3,8,50,14,9
101,2,21,8,40,2,01大同區,大同區忠孝西路與環河北路口環河北路 忠孝西路,0,1,2,C03,1,30,2,8,50,14,9
101,2,17,23,3,2,01大同區,大同區西寧北路與鄭州路口鄭州路 西寧北路,0,1,1,B03,1,,4,7,50,4,1
101,2,17,23,3,2,01大同區,大同區西寧北路與鄭州路口鄭州路 西寧北路,0,1,2,C03,2,27,2,7,50,4,1
101,2,26,22,45,2,01大同區,大同區民權西路與蘭州街口民權西路 蘭州街,0,2,1,C04,1,76,2,6,50,4,1
101,2,26,22,45,2,01大同區,大同區民權西路與蘭州街口民權西路 蘭州街,0,2,2,C03,1,32,2,6,50,4,1
101,3,6,20,20,2,01大同區,大同區延平北路4段與迪化街2段口延平北路4段 迪化街2段254巷(延平北路4段111號前),0,2,1,C03,1,17,2,7,50,3,1
101,3,6,20,20,2,01大同區,大同區延平北路4段與迪化街2段口延平北路4段 迪化街2段254巷(延平北路4段111號前),0,2,2,C03,1,32,2,7,50,3,1
101,3,7,23,30,2,01大同區,大同區民權西路與延平北路3段口,0,1,1,B03,1,30,3,7,50,4,1
101,3,7,23,30,2,01大同區,大同區民權西路與延平北路3段口,0,1,2,C03,1,28,2,7,50,4,1
101,2,11,14,26,2,01大同區,大同區重慶北路與涼州街口重慶北路 涼州街,0,1,1,H01,2,76,2,8,50,4,9
101,2,11,14,26,2,01大同區,大同區重慶北路與涼州街口重慶北路 涼州街,0,1,2,B03,1,33,3,8,50,4,9
101,2,19,19,10,2,01大同區,大同區錦西街與雙連街口雙連街 錦西街,0,1,1,C03,1,66,3,8,40,3,1
101,2,19,19,10,2,01大同區,大同區錦西街與雙連街口雙連街 錦西街,0,1,2,H01,2,54,2,8,40,3,1
101,3,16,15,20,2,01大同區,大同區民樂街45號,0,2,1,C03,2,45,2,8,40,14,9
101,3,16,15,20,2,01大同區,大同區民樂街45號,0,2,2,C03,1,19,2,8,40,14,9
101,3,21,16,3,2,01大同區,大同區民生西路238號,0,1,1,C03,1,53,2,8,50,14,9
101,3,21,16,3,2,01大同區,大同區民生西路238號,0,1,2,B03,1,47,3,8,50,14,9
101,2,17,17,15,2,01大同區,大同區承德路與昌吉街口承德路 昌吉街,0,1,1,G06,1,,4,7,50,3,1
101,2,17,17,15,2,01大同區,大同區承德路與昌吉街口承德路 昌吉街,0,1,2,C03,1,21,2,7,50,3,1
101,3,16,8,15,2,01大同區,大同區甘谷街與延平北路1段口,0,1,1,C03,1,58,3,7,50,4,1
101,3,16,8,15,2,01大同區,大同區甘谷街與延平北路1段口,0,1,2,C03,1,52,2,7,50,4,1
101,3,16,8,15,2,01大同區,大同區甘谷街與延平北路1段口,0,1,3,A12,1,,4,7,50,4,1
101,3,16,16,20,2,01大同區,大同區哈密街95號,0,1,1,C03,1,66,3,8,30,14,9
101,3,16,16,20,2,01大同區,大同區哈密街95號,0,1,2,C03,2,29,2,8,30,14,9
101,4,2,14,20,2,01大同區,大同區承德路與敦煌路口承德路 敦煌路,0,2,1,C04,2,38,2,8,50,4,1
101,4,2,14,20,2,01大同區,大同區承德路與敦煌路口承德路 敦煌路,0,2,2,C03,2,56,2,8,50,4,1
101,4,13,18,45,2,01大同區,大同區大龍街222號,0,2,1,C03,1,56,2,7,50,14,9
101,4,13,18,45,2,01大同區,大同區大龍街222號,0,2,2,F01,1,46,2,7,50,14,9
101,3,25,13,35,2,01大同區,大同區長安西路與承德路口承德路 長安西路,0,1,1,B03,1,53,3,8,50,4,2
101,3,25,13,35,2,01大同區,大同區長安西路與承德路口承德路 長安西路,0,1,2,C03,1,32,2,8,50,4,2
101,3,26,15,30,2,01大同區,大同區台北橋台北橋機車道,0,2,1,C03,1,25,2,8,40,8,11
101,3,26,15,30,2,01大同區,大同區台北橋台北橋機車道,0,2,2,C04,2,54,2,8,40,8,11
101,4,28,2,50,2,01大同區,大同區長安西路與承德路口承德路 長安西路,0,2,3,H02,2,27,2,6,50,4,1
101,4,28,2,50,2,01大同區,大同區長安西路與承德路口承德路 長安西路,0,2,4,H02,2,27,2,6,50,4,1
101,4,29,17,25,2,01大同區,大同區重慶北路1段50號,0,1,1,B03,1,27,3,6,50,14,9
101,4,29,17,25,2,01大同區,大同區重慶北路1段50號,0,1,2,C03,1,18,2,6,50,14,9
101,5,8,19,19,2,01大同區,大同區長安西路與南京西路口長安西路54號 南京西路18巷口,0,1,1,B01,1,59,3,8,50,4,1
101,5,8,19,19,2,01大同區,大同區長安西路與南京西路口長安西路54號 南京西路18巷口,0,1,2,C03,1,21,2,8,50,4,1
101,5,8,22,10,2,01大同區,大同區承德路3段與承德橋口承德路3段承德橋往士林機慢車道,0,2,1,C03,1,31,2,8,50,14,11
101,5,8,22,10,2,01大同區,大同區承德路3段與承德橋口承德路3段承德橋往士林機慢車道,0,2,2,F01,2,57,2,8,50,14,11
101,5,14,19,10,2,01大同區,大同區重慶北路3段389號,0,1,1,B03,2,54,3,8,50,14,9
101,4,20,22,25,2,01大同區,大同區環河快速道路環河快速道路接市民高架匝道,0,1,1,B03,1,27,3,6,40,11,9
101,4,20,22,25,2,01大同區,大同區環河快速道路環河快速道路接市民高架匝道,0,1,2,B03,1,27,3,6,40,11,9
101,4,20,22,25,2,01大同區,大同區環河快速道路環河快速道路接市民高架匝道,0,1,3,B01,1,46,2,6,40,11,9
101,4,20,22,25,2,01大同區,大同區環河快速道路環河快速道路接市民高架匝道,0,1,4,B03,1,61,3,6,40,11,9
101,10,26,18,30,2,01大同區,大同區錦西街38巷,0,1,1,C03,2,33,3,8,50,3,1
101,10,26,18,30,2,01大同區,大同區錦西街38巷,0,1,2,C04,2,45,2,8,50,3,1
101,11,9,15,20,2,01大同區,大同區承德路3段與庫倫街口承德路3段 庫倫街,0,1,1,B03,1,62,3,8,50,4,18
101,11,9,15,20,2,01大同區,大同區承德路3段與庫倫街口承德路3段 庫倫街,0,1,2,H01,2,71,2,8,50,4,18
101,11,9,22,10,2,01大同區,大同區重慶北路3段重慶北路3段223巷口,0,2,1,B01,1,56,2,8,40,3,1
101,11,9,22,10,2,01大同區,大同區重慶北路3段重慶北路3段223巷口,0,2,2,,3,,,8,40,3,1
101,11,9,22,10,2,01大同區,大同區重慶北路3段重慶北路3段223巷口,0,2,3,H02,2,41,2,8,40,3,1
101,4,13,22,15,2,01大同區,大同區通河西街1段通河西街1段大龍抽水站旁第278號燈桿,0,1,1,C03,2,24,2,7,40,14,9
101,4,13,22,15,2,01大同區,大同區通河西街1段通河西街1段大龍抽水站旁第278號燈桿,0,1,2,B03,1,24,3,7,40,14,9
101,4,15,2,20,2,01大同區,大同區鄭州路137號,0,1,1,C03,2,21,2,7,40,14,9
